id;title;comment;comment_date;commenter_type
1;Baby Outdoors;Configuration Home Loan Account Swedish Krona;2020-10-08T23:58:01;APPLICANT
2;Awesome Rubber Table;Saint Lucia Center;2020-10-09T02:27:31;APPLICANT
3;Springs Arkansas structure;Security;2020-10-08T21:53:01;EMPLOYEE
4;Concrete orchid Personal Loan Account;Configuration Plastic Home;2020-10-09T13:46:08;EMPLOYEE
5;COM;Shoes;2020-10-09T15:31:13;APPLICANT
6;Lao People's Democratic Republic;Handmade Sleek;2020-10-09T10:06:10;APPLICANT
7;PNG networks Credit Card Account;Generic;2020-10-09T06:01:06;EMPLOYEE
8;SAS olive;Rupiah;2020-10-09T13:45:57;APPLICANT
9;Division Serbian Dinar deposit;IB sky blue Decentralized;2020-10-08T19:26:57;APPLICANT
10;data-warehouse enterprise leading edge;orchid;2020-10-09T12:49:14;APPLICANT
