id;application_name;application_code;application_date;application_status;travel_purpose;visa_type;travel_mode;port_of_entry;number_of_entries_requested;intended_date_of_arrival;intended_date_of_departure;valid_until;travel_purpose_other;reject_reason;approved_date
1;Practical Plastic Chicken;Executive;2020-10-09T12:02:35;REJECTED;TOURISM;TRANSIT;AIR;Intelligent;Rubber collaborative zero administration;2020-10-09;2020-10-08;2020-10-09;eyeballs User-friendly Auto Loan Account;cultivate deposit Incredible Frozen Shirt;2020-10-09T02:20:28
2;feed benchmark installation;monitor;2020-10-09T08:14:14;RECEIVED;SPORTS;MULTIPLE_ENTRY;LAND;feed;Checking Account Steel invoice;2020-10-09;2020-10-08;2020-10-09;Congo;plum;2020-10-08T19:26:35
3;Dam supply-chains;Tuna solid state;2020-10-08T23:50:59;RECEIVED;TRANSIT;TRANSIT;SEA;Agent Persevering hub;International Markets;2020-10-09;2020-10-09;2020-10-09;repurpose Specialist leverage;District United Kingdom Shoal;2020-10-09T02:14:33
4;Sleek;Oval plum;2020-10-09T15:34:52;UNDER_PROCESS;MEDICAL;TRANSIT;SEA;Ball;Refined connecting Officer;2020-10-09;2020-10-09;2020-10-08;overriding silver;Focused Buckinghamshire;2020-10-09T12:38:29
5;convergence background;TCP Networked open-source;2020-10-09T09:40:07;APPROVED;OFFICIAL_VISIT;SINGLE_ENTRY;SEA;asynchronous Ball Track;circuit;2020-10-09;2020-10-09;2020-10-08;national Refined;Toys virtual;2020-10-09T07:37:28
6;systems;architectures program;2020-10-09T12:10:26;CANCELLED;CULTURE;TRANSIT;SEA;niches Frozen Frozen;Concrete tan;2020-10-09;2020-10-09;2020-10-09;Tasty;process improvement;2020-10-09T15:56:32
7;solution-oriented;Curve;2020-10-09T17:26:10;RECEIVED;SPORTS;MULTIPLE_ENTRY;LAND;generating;web-readiness transmitter Future;2020-10-09;2020-10-08;2020-10-09;Tugrik deposit;Strategist Analyst Steel;2020-10-09T14:26:13
8;Mountains Product;Handmade Liberia;2020-10-08T23:02:14;REJECTED;OFFICIAL_VISIT;MULTIPLE_ENTRY;SEA;Human;recontextualize dynamic Generic Rubber Mouse;2020-10-08;2020-10-09;2020-10-09;Rustic optical;Light;2020-10-09T15:52:42
9;synthesize mobile;Data Guadeloupe Fantastic Steel Mouse;2020-10-09T13:06:32;UNDER_PROCESS;TOURISM;TRANSIT;LAND;Corporate;Salad calculate Baby;2020-10-09;2020-10-09;2020-10-09;extend Gloves;Colombian Peso Unidad de Valor Real drive Avon;2020-10-08T23:15:46
10;schemas Polarised;grow needs-based relationships;2020-10-09T14:49:13;RECEIVED;BUSINESS;MULTIPLE_ENTRY;AIR;Generic;Australian Dollar Checking Account magenta;2020-10-08;2020-10-08;2020-10-09;bypassing driver;client-driven;2020-10-08T21:47:40
