id;duration_of_proposed_stay_in_days;name_of_hosting_person_orcompany;staying_location_name;stay_location_full_address;stay_location_telephone_number;stay_location_email;who_covers_cost_of_applicants_stay
1;22702;connect Adaptive Savings Account;Savings Account;Mouse;Chair Senegal models;payment Cotton;auxiliary
2;45341;CSS Berkshire CSS;Borders;Customizable Lead;Junction FTP;Croatian Kuna;Practical Concrete Pizza
3;91586;payment;application neural-net XML;wireless Home Loan Account Mill;Tasty tan Taiwan;Chips Metal SAS;Small
4;45100;Cotton;deposit Luxembourg;metrics task-force Afghani;Bedfordshire Lari Synergistic;Lead;holistic Operations
5;42430;paradigms SMTP Intelligent;Checking Account;analyzing Jewelery Marshall Islands;Avon Rubber Intelligent Cotton Fish;Web Internal Auto Loan Account;navigating infomediaries
6;91752;monitoring Missouri;USB Isle Organic;sky blue;User-friendly;Malagasy Ariary;Electronics Pants Specialist
7;15154;Automotive invoice Cambridgeshire;Exclusive;Buckinghamshire;Practical Cotton Computer;transitional Park;European Unit of Account 9(E.U.A.-9) Refined Wooden Computer logistical
8;89235;Data Checking Account synergize;Pizza compressing;Buckinghamshire front-end Cambridgeshire;Triple-buffered architectures;Pants maroon array;Connecticut Unbranded rich
9;21655;Guinea Franc Coordinator Designer;Saint Pierre and Miquelon Hungary;calculate;interfaces Belize Dollar transmit;reboot Principal;Fields SDD
10;29573;Kroon Berkshire;parse info-mediaries Rubber;Seamless Clothing;Plastic;cutting-edge;next-generation yellow
